

This text file contains the default Key Bindings in Vanilla WoW   -   also named Keyboard Shortcuts or simply Hotkeys   -   This is the one column version



Command				Key 1


Movement keys

Move and Steer			Middle Mouse
Move Forward			"W"
Move Forward			Up Arrow
Move Backward			"S"
Move Backward			Down Arrow
Turn Left			"A"
Turn Left			Left Arrow
Turn Right			"D"
Turn Right			Right Arrow
Strafe Left			"Q"
Strafe Right			"E"
Jump				Spacebar
Jump				Num Pad 0
Toggle Sit/Stand		"X"
Sheath/Unsheath Weapon		"Z"
Toggle Autorun			Num Lock
Toggle Autorun			Mouse Button 4
Pitch Up			Insert
Pitch Down			Delete
Toggle Run/Walk			Num Pad /
Follow Target			Not Bound


Chat Functions

Open Chat			Enter
Open Chat Slash			"/"
Chat Page Up			Page Up
Chat Page Down			Page Down
Chat Bottom			Shift + Page Down
Chat Reply			"R"
Re-Whisper			Shift + R
Combat Log Page Up		Ctrl + Page Up
Combat Log Page Down		Ctrl + Page Down
Combat Log Bottom		Ctrl + Shift + Page Down
Toggle Combat Log		Shift + C


Action Bar Functions

Action Button 1			"1"
Action Button 2			"2"
Action Button 3			"3"
Action Button 4			"4"
Action Button 5			"5"
Action Button 6			"6"
Action Button 7			"7"
Action Button 8			"8"
Action Button 9			"9"
Action Button 10		"0"
Action Button 11		"-"
Action Button 12		"="

Self Action Button 1		Alt + 1
Self Action Button 2		Alt + 2
Self Action Button 3		Alt + 3
Self Action Button 4		Alt + 4
Self Action Button 5		Alt + 5
Self Action Button 6		Alt + 6
Self Action Button 7		Alt + 7
Self Action Button 8		Alt + 8
Self Action Button 9		Alt + 9
Self Action Button 10		Alt + 0
Self Action Button 11		Alt + -
Self Action Button 12		Alt + =

Special Action Button 1		Ctrl + F1
Special Action Button 2		Ctrl + F2
Special Action Button 3		Ctrl + F3
Special Action Button 4		Ctrl + F4
Special Action Button 5		Ctrl + F5
Special Action Button 6		Ctrl + F6
Special Action Button 7		Ctrl + F7
Special Action Button 8		Ctrl + F8
Special Action Button 9		Ctrl + F9
Special Action Button 10	Ctrl + F10

Secondary Action Button 1	Ctrl + 1
Secondary Action Button 2	Ctrl + 2
Secondary Action Button 3	Ctrl + 3
Secondary Action Button 4	Ctrl + 4
Secondary Action Button 5	Ctrl + 5
Secondary Action Button 6	Ctrl + 6
Secondary Action Button 7	Ctrl + 7
Secondary Action Button 8	Ctrl + 8
Secondary Action Button 9	Ctrl + 9
Secondary Action Button 10	Ctrl + 0

Action Page 1			Shift + 1
Action Page 2			Shift + 2
Action Page 3			Shift + 3
Action Page 4			Shift + 4
Action Page 5			Shift + 5
Action Page 6			Shift + 6

Previous Action Bar		Shift + Up Arrow
Previous Action Bar		Shift + Mouse Wheel Up
Next Action Bar			Shift + Down Arrow
Next Action Bar			Shift + Mouse Wheel Down


Targeting Functions

Target Nearest Enemy		Tab
Target Previous Enemy		Shift + Tab
Target Nearest Friend		Ctrl + Tab
Target Previous Friend		Ctrl + Shift + Tab

Target Self			"F1"
Target Party Member 1		"F2"
Target Party Member 2		"F3"
Target Party Member 3		"F4"
Target Party Member 4		"F5"

Target Pet			Shift + F1
Target Party Pet 1		Shift + F2
