

This text file contains the default Key Bindings in Vanilla WoW   -   also named Keyboard Shortcuts or simply Hotkeys   -   This is the version without the Blizzard ID column



Command				Key 1				Key 2


Movement keys

Move and Steer			Middle Mouse			Not Bound
Move Forward			"W"				Up Arrow
Move Backward			"S"				Down Arrow
Turn Left			"A"				Left Arrow
Turn Right			"D"				Right Arrow
Strafe Left			"Q"				Not Bound
Strafe Right			"E"				Not Bound
Jump				Spacebar			Num Pad 0
Toggle Sit/Stand		"X"				Not Bound
Sheath/Unsheath Weapon		"Z"				Not Bound
Toggle Autorun			Num Lock			Mouse Button 4
Pitch Up			Insert				Not Bound
Pitch Down			Delete				Not Bound
Toggle Run/Walk			Num Pad /			Not Bound
Follow Target			Not Bound			Not Bound


Chat Functions

Open Chat			Enter				Not Bound
Open Chat Slash			"/"				Not Bound
Chat Page Up			Page Up				Not Bound
Chat Page Down			Page Down			Not Bound
Chat Bottom			Shift + Page Down		Not Bound
Chat Reply			"R"				Not Bound
Re-Whisper			Shift + R			Not Bound
Combat Log Page Up		Ctrl + Page Up			Not Bound
Combat Log Page Down		Ctrl + Page Down		Not Bound
Combat Log Bottom		Ctrl + Shift + Page Down	Not Bound
Toggle Combat Log		Shift + C			Not Bound


Action Bar Functions

Action Button 1			"1"				Not Bound
Action Button 2			"2"				Not Bound
Action Button 3			"3"				Not Bound
Action Button 4			"4"				Not Bound
Action Button 5			"5"				Not Bound
Action Button 6			"6"				Not Bound
Action Button 7			"7"				Not Bound
Action Button 8			"8"				Not Bound
Action Button 9			"9"				Not Bound
Action Button 10		"0"				Not Bound
Action Button 11		"-"				Not Bound
Action Button 12		"="				Not Bound

Self Action Button 1		Alt + 1				Not Bound
Self Action Button 2		Alt + 2				Not Bound
Self Action Button 3		Alt + 3				Not Bound
Self Action Button 4		Alt + 4				Not Bound
Self Action Button 5		Alt + 5				Not Bound
Self Action Button 6		Alt + 6				Not Bound
Self Action Button 7		Alt + 7				Not Bound
Self Action Button 8		Alt + 8				Not Bound
Self Action Button 9		Alt + 9				Not Bound
Self Action Button 10		Alt + 0				Not Bound
Self Action Button 11		Alt + -				Not Bound
Self Action Button 12		Alt + =				Not Bound

Special Action Button 1		Ctrl + F1			Not Bound
Special Action Button 2		Ctrl + F2			Not Bound
Special Action Button 3		Ctrl + F3			Not Bound
Special Action Button 4		Ctrl + F4			Not Bound
Special Action Button 5		Ctrl + F5			Not Bound
Special Action Button 6		Ctrl + F6			Not Bound
Special Action Button 7		Ctrl + F7			Not Bound
Special Action Button 8		Ctrl + F8			Not Bound
Special Action Button 9		Ctrl + F9			Not Bound
Special Action Button 10	Ctrl + F10			Not Bound

Secondary Action Button 1	Ctrl + 1			Not Bound
Secondary Action Button 2	Ctrl + 2			Not Bound
Secondary Action Button 3	Ctrl + 3			Not Bound
Secondary Action Button 4	Ctrl + 4			Not Bound
Secondary Action Button 5	Ctrl + 5			Not Bound
Secondary Action Button 6	Ctrl + 6			Not Bound
Secondary Action Button 7	Ctrl + 7			Not Bound
Secondary Action Button 8	Ctrl + 8			Not Bound
Secondary Action Button 9	Ctrl + 9			Not Bound
Secondary Action Button 10	Ctrl + 0			Not Bound

