

This text file contains the default Key Bindings in Vanilla WoW   -   also named Keyboard Shortcuts or simply Hotkeys   -   This is the version that is sorted by hotkey



		Key		Command				Blizzard ID

		0		Action Button 10		ACTIONBUTTON10
		1		Action Button 1			ACTIONBUTTON1
		2		Action Button 2			ACTIONBUTTON2
		3		Action Button 3			ACTIONBUTTON3
		4		Action Button 4			ACTIONBUTTON4
		5		Action Button 5			ACTIONBUTTON5
		6		Action Button 6			ACTIONBUTTON6
		7		Action Button 7			ACTIONBUTTON7
		8		Action Button 8			ACTIONBUTTON8
		9		Action Button 9			ACTIONBUTTON9

		/		Open Chat Slash			OPENCHATSLASH
		-		Action Button 11		ACTIONBUTTON11
		=		Action Button 12		ACTIONBUTTON12

		A		Turn Left			TURNLEFT
		B		Toggle Backpack			TOGGLEBACKPACK
		C		Toggle Character Pane		TOGGLECHARACTER0
		D		Turn Right			TURNRIGHT
		E		Strafe Right			STRAFERIGHT
		F		Assist Target			ASSISTTARGET
		G		Target Last Hostile		TARGETLASTHOSTILE
		H		Toggle Honor Pane		TOGGLECHARACTER4
		K		Toggle Skill Pane		TOGGLECHARACTER1
		L		Toggle Quest Log		TOGGLEQUESTLOG
		M		Toggle World Map Pane		TOGGLEWORLDMAP
		N		Toggle Talent Pane		TOGGLETALENTS
		O		Toggle Social Pane		TOGGLESOCIAL
		P		Toggle Spellbook		TOGGLESPELLBOOK
		Q		Strafe Left			STRAFELEFT
		R		Chat Reply			REPLY
		S		Move Backward			MOVEBACKWARD
		T		Attack Target			ATTACKTARGET
		U		Toggle Reputation Pane		TOGGLECHARACTER2
		V		Show Name Plates		NAMEPLATES
		W		Move Forward			MOVEFORWARD
		X		Toggle Sit/Stand		SITORSTAND
		Z		Sheath/Unsheath Weapon		TOGGLESHEATH

		F1		Target Self			TARGETSELF
		F2		Target Party Member 1		TARGETPARTYMEMBER1
		F3		Target Party Member 2		TARGETPARTYMEMBER2
		F4		Target Party Member 3		TARGETPARTYMEMBER3
		F5		Target Party Member 4		TARGETPARTYMEMBER4
		F8		Toggle Bag 1			TOGGLEBAG1
		F9		Toggle Bag 2			TOGGLEBAG2
		F10		Toggle Bag 3			TOGGLEBAG3
		F11		Toggle Bag 4			TOGGLEBAG4
		F12		Toggle Backpack			TOGGLEBACKPACK

	Up Arrow		Move Forward			MOVEFORWARD
	Down Arrow		Move Backward			MOVEBACKWARD
	Left Arrow		Turn Left			TURNLEFT
	Right Arrow		Turn Right			TURNRIGHT

	Spacebar		Jump				JUMP
	Tab			Target Nearest Enemy		TARGETNEARESTENEMY
	Enter			Open Chat			OPENCHAT
	Escape			Toggle Game Menu		TOGGLEGAMEMENU

	Insert			Pitch Up			PITCHUP
	Delete			Pitch Down			PITCHDOWN
	Page Up			Chat Page Up			CHATPAGEUP
	Page Down		Chat Page Down			CHATPAGEDOWN
	Home			Previous View			PREVVIEW
	End			Next View			NEXTVIEW
	Print Screen		Screen Shot			SCREENSHOT

	Num Lock		Toggle Autorun			TOGGLEAUTORUN
	Num Pad 0		Jump				JUMP
	Num Pad -		Minimap Zoom Out		MINIMAPZOOMOUT
	Num Pad +		Minimap Zoom In			MINIMAPZOOMIN
	Num Pad /		Toggle Run/Walk			TOGGLERUN

	Alt + -			Self Action Button 11		SELFACTIONBUTTON11
	Alt + =			Self Action Button 12		SELFACTIONBUTTON12
	Alt + 0			Self Action Button 10		SELFACTIONBUTTON10
	Alt + 1			Self Action Button 1		SELFACTIONBUTTON1
	Alt + 2			Self Action Button 2		SELFACTIONBUTTON2
	Alt + 3			Self Action Button 3		SELFACTIONBUTTON3
	Alt + 4			Self Action Button 4		SELFACTIONBUTTON4
	Alt + 5			Self Action Button 5		SELFACTIONBUTTON5
	Alt + 6			Self Action Button 6		SELFACTIONBUTTON6
	Alt + 7			Self Action Button 7		SELFACTIONBUTTON7
	Alt + 8			Self Action Button 8		SELFACTIONBUTTON8
	Alt + 9			Self Action Button 9		SELFACTIONBUTTON9

	Alt + Z			Toggle User Interface		TOGGLEUI

	Ctrl + -		Master Volume Down		MASTERVOLUMEDOWN
	Ctrl + =		Master Volume Up		MASTERVOLUMEUP
	Ctrl + 0		Secondary Action Button 10	BONUSACTIONBUTTON10
	Ctrl + 1		Secondary Action Button 1	BONUSACTIONBUTTON1
	Ctrl + 2		Secondary Action Button 2	BONUSACTIONBUTTON2
	Ctrl + 3		Secondary Action Button 3	BONUSACTIONBUTTON3
	Ctrl + 4		Secondary Action Button 4	BONUSACTIONBUTTON4
	Ctrl + 5		Secondary Action Button 5	BONUSACTIONBUTTON5
	Ctrl + 6		Secondary Action Button 6	BONUSACTIONBUTTON6
	Ctrl + 7		Secondary Action Button 7	BONUSACTIONBUTTON7
	Ctrl + 8		Secondary Action Button 8	BONUSACTIONBUTTON8
	Ctrl + 9		Secondary Action Button 9	BONUSACTIONBUTTON9

	Ctrl + M		Toggle Music			TOGGLEMUSIC
	Ctrl + R		Toggle Framerate Display	TOGGLEFPS
	Ctrl + S		Toggle Sound			TOGGLESOUND
	Ctrl + V		Show All Name Plates		ALLNAMEPLATES

	Ctrl + F1		Special Action Button 1		SHAPESHIFTBUTTON1
	Ctrl + F2		Special Action Button 2		SHAPESHIFTBUTTON2
	Ctrl + F3		Special Action Button 3		SHAPESHIFTBUTTON3
	Ctrl + F4		Special Action Button 4		SHAPESHIFTBUTTON4
	Ctrl + F5		Special Action Button 5		SHAPESHIFTBUTTON5
	Ctrl + F6		Special Action Button 6		SHAPESHIFTBUTTON6
	Ctrl + F7		Special Action Button 7		SHAPESHIFTBUTTON7
	Ctrl + F8		Special Action Button 8		SHAPESHIFTBUTTON8
	Ctrl + F9		Special Action Button 9		SHAPESHIFTBUTTON9
	Ctrl + F10		Special Action Button 10	SHAPESHIFTBUTTON10

	Ctrl + Tab		Target Nearest Friend		TARGETNEARESTFRIEND
	Ctrl + Page Up		Combat Log Page Up		COMBATLOGPAGEUP
	Ctrl + Page Down	Combat Log Page Down		COMBATLOGPAGEDOWN

Ctrl + Shift + Page Down	Combat Log Bottom		COMBATLOGBOTTOM
Ctrl + Shift + Tab		Target Previous Friend		TARGETPREVIOUSFRIEND

	Shift + 1		Action Page 1			ACTIONPAGE1
	Shift + 2		Action Page 2			ACTIONPAGE2
	Shift + 3		Action Page 3			ACTIONPAGE3
