

This text file contains the default Key Bindings in Vanilla WoW   -   also named Keyboard Shortcuts or simply Hotkeys



Command				Key 1				Key 2				Blizzard ID


Movement keys

Move and Steer			Middle Mouse			Not Bound			MOVEANDSTEER
Move Forward			"W"				Up Arrow			MOVEFORWARD
Move Backward			"S"				Down Arrow			MOVEBACKWARD
Turn Left			"A"				Left Arrow			TURNLEFT
Turn Right			"D"				Right Arrow			TURNRIGHT
Strafe Left			"Q"				Not Bound			STRAFELEFT
Strafe Right			"E"				Not Bound			STRAFERIGHT
Jump				Spacebar			Num Pad 0			JUMP
Toggle Sit/Stand		"X"				Not Bound			SITORSTAND
Sheath/Unsheath Weapon		"Z"				Not Bound			TOGGLESHEATH
Toggle Autorun			Num Lock			Mouse Button 4			TOGGLEAUTORUN
Pitch Up			Insert				Not Bound			PITCHUP
Pitch Down			Delete				Not Bound			PITCHDOWN
Toggle Run/Walk			Num Pad /			Not Bound			TOGGLERUN
Follow Target			Not Bound			Not Bound			FOLLOWTARGET


Chat Functions

Open Chat			Enter				Not Bound			OPENCHAT
Open Chat Slash			"/"				Not Bound			OPENCHATSLASH
Chat Page Up			Page Up				Not Bound			CHATPAGEUP
Chat Page Down			Page Down			Not Bound			CHATPAGEDOWN
Chat Bottom			Shift + Page Down		Not Bound			CHATBOTTOM
Chat Reply			"R"				Not Bound			REPLY
Re-Whisper			Shift + R			Not Bound			REPLY2
Combat Log Page Up		Ctrl + Page Up			Not Bound			COMBATLOGPAGEUP
Combat Log Page Down		Ctrl + Page Down		Not Bound			COMBATLOGPAGEDOWN
Combat Log Bottom		Ctrl + Shift + Page Down	Not Bound			COMBATLOGBOTTOM
Toggle Combat Log		Shift + C			Not Bound			TOGGLECOMBATLOG


Action Bar Functions

Action Button 1			"1"				Not Bound			ACTIONBUTTON1
Action Button 2			"2"				Not Bound			ACTIONBUTTON2
Action Button 3			"3"				Not Bound			ACTIONBUTTON3
Action Button 4			"4"				Not Bound			ACTIONBUTTON4
Action Button 5			"5"				Not Bound			ACTIONBUTTON5
Action Button 6			"6"				Not Bound			ACTIONBUTTON6
Action Button 7			"7"				Not Bound			ACTIONBUTTON7
Action Button 8			"8"				Not Bound			ACTIONBUTTON8
Action Button 9			"9"				Not Bound			ACTIONBUTTON9
Action Button 10		"0"				Not Bound			ACTIONBUTTON10
Action Button 11		"-"				Not Bound			ACTIONBUTTON11
Action Button 12		"="				Not Bound			ACTIONBUTTON12

Self Action Button 1		Alt + 1				Not Bound			SELFACTIONBUTTON1
Self Action Button 2		Alt + 2				Not Bound			SELFACTIONBUTTON2
Self Action Button 3		Alt + 3				Not Bound			SELFACTIONBUTTON3
Self Action Button 4		Alt + 4				Not Bound			SELFACTIONBUTTON4
Self Action Button 5		Alt + 5				Not Bound			SELFACTIONBUTTON5
Self Action Button 6		Alt + 6				Not Bound			SELFACTIONBUTTON6
Self Action Button 7		Alt + 7				Not Bound			SELFACTIONBUTTON7
Self Action Button 8		Alt + 8				Not Bound			SELFACTIONBUTTON8
Self Action Button 9		Alt + 9				Not Bound			SELFACTIONBUTTON9
Self Action Button 10		Alt + 0				Not Bound			SELFACTIONBUTTON10
